order_id,source_file,Status Pesanan,status_kelompok,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,waktu_pesanan,periode_file,periode_analisis,sumber_periode,alasan_pembatalan_analisis,total_pembayaran_rp,berat_pesanan_gr,jumlah_baris_item,jumlah_item_tercatat,memiliki_baris_identik,retur_tidak_diketahui,jumlah_retur,waktu_pesanan_tidak_tersedia,jumlah_kategori,kategori_dalam_pesanan,diskon_nilai_asli_bervariasi,diskon_nilai_asli,ongkir_pembeli_nilai_asli_bervariasi,ongkir_pembeli_nilai_asli,subsidi_ongkir_nilai_asli_bervariasi,subsidi_ongkir_nilai_asli,estimasi_ongkir_nilai_asli_bervariasi,estimasi_ongkir_nilai_asli,skala_ongkir_diskon_terverifikasi,pembayaran_nol_nonbatal,outlier_total_pembayaran_rp,outlier_jumlah_item_tercatat,outlier_berat_pesanan_gr
ORD_0002704,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. MADIUN,JAWA TIMUR,2025-08-04 03:58:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),25000,400,2,2,False,False,0,False,2,Mangkok Sambal / Saus | Saringan / Strainer,False,0.0,False,0.0,False,5.0,False,5.0,False,False,False,False,False
ORD_0002705,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Hemat,COD (Bayar di Tempat),KAB. TULANG BAWANG BARAT,LAMPUNG,2025-08-04 06:33:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),18900,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,14.7,False,14.7,False,False,False,False,False
ORD_0002706,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA JAMBI,JAMBI,2025-08-04 07:19:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),32000,750,1,3,False,False,0,False,1,Lunch Box / Rantang,False,0.0,False,0.0,False,20.0,False,20.0,False,False,False,False,False
ORD_0002707,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA TASIKMALAYA,JAWA BARAT,2025-08-04 08:15:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),17000,130,2,2,True,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002708,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,2025-08-04 08:39:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),9000,80,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002709,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. PURWAKARTA,JAWA BARAT,2025-08-04 08:53:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),22000,2000,1,2,False,False,0,False,1,Nampan / Tray,False,0.0,False,0.0,False,6.5,False,6.5,False,False,False,False,False
ORD_0002710,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANDUNG,JAWA BARAT,2025-08-04 09:43:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),9000,80,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002711,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Online Payment,KAB. BADUNG,BALI,2025-08-04 10:06:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),376000,4000,1,1,False,False,0,False,1,Seal / Baut / Roof,False,0.0,False,6.0,False,60.0,False,66.0,False,False,True,False,True
ORD_0002712,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,2025-08-04 10:19:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),7000,80,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002713,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Standard,Online Payment,KOTA PALEMBANG,SUMATERA SELATAN,2025-08-04 10:44:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),36297,1000,2,2,True,False,0,False,1,Celengan,False,0.0,False,0.0,False,9.9,False,9.9,False,False,False,False,False
ORD_0002714,AugustSales2025_public.xlsx,Batal,Batal,Hemat Kargo,Online Payment,KOTA BANDUNG,JAWA BARAT,2025-08-04 11:03:00,2025-08,2025-08-01,2025-08,Dibatalkan secara otomatis oleh sistem. Alasan: Pesanan belum dibayar,0,710,4,4,True,False,0,False,2,Aksesoris Pintu | Celengan,False,0.0,False,0.0,False,0.0,False,3.5,False,False,False,True,False
ORD_0002715,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. SUKABUMI,JAWA BARAT,2025-08-04 11:28:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),8500,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002716,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KOTA BANDUNG,JAWA BARAT,2025-08-04 12:14:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),17329,500,1,1,False,False,0,False,1,Celengan,False,0.0,False,0.0,False,3.5,False,3.5,False,False,False,False,False
ORD_0002717,AugustSales2025_public.xlsx,Selesai,Selesai,SPX Hemat,COD (Bayar di Tempat),KAB. DHARMASRAYA,SUMATERA BARAT,2025-08-04 12:26:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),154000,2000,2,10,True,False,0,False,1,Mangkok Sambal / Saus,False,0.0,False,0.0,False,38.8,False,38.8,False,False,True,True,False
ORD_0002718,AugustSales2025_public.xlsx,Batal,Batal,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. NGANJUK,JAWA TIMUR,2025-08-04 12:47:00,2025-08,2025-08-01,2025-08,Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran,0,100,1,1,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,0.0,False,5.0,False,False,False,False,False
ORD_0002719,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. NGANJUK,JAWA TIMUR,2025-08-04 12:48:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),23000,200,1,2,False,False,0,False,1,Aksesoris Pintu,False,0.0,False,0.0,False,5.0,False,5.0,False,False,False,False,False
ORD_0002720,AugustSales2025_public.xlsx,Selesai,Selesai,Hemat Kargo-J&T Cargo,Online Payment,KAB. GRESIK,JAWA TIMUR,2025-08-04 13:34:00,2025-08,2025-08-01,2025-08,Tidak berlaku (nonbatal),2756000,24000,1,2,False,False,0,False,1,Seal / Baut / Roof,False,0.0,False,10.0,False,100.0,False,110.0,False,False,True,False,True
